date,tensorflow,pytorch,keras
2015-11-14,9672,0,2843
2015-11-15,9943,0,2845
2015-11-16,10317,0,2856
2015-11-17,10609,0,2864
2015-11-18,10877,0,2876
2015-11-19,11068,0,2882
2015-11-20,11266,0,2888
2015-11-21,11378,0,2890
2015-11-22,11463,0,2894
2015-11-23,11558,0,2899
2015-11-24,11649,0,2909
2015-11-25,11761,0,2921
2015-11-26,11852,0,2927
2015-11-27,11920,0,2937
2015-11-28,11978,0,2943
2015-11-29,12019,0,2946
2015-11-30,12086,0,2951
2015-12-01,12150,0,2975
2015-12-02,12228,0,3018
2015-12-03,12282,0,3039
2015-12-04,12338,0,3051
2015-12-05,12376,0,3062
2015-12-06,12404,0,3072
2015-12-07,12475,0,3084
2015-12-08,12539,0,3091
2015-12-09,12630,0,3098
2015-12-10,12797,0,3111
2015-12-11,12866,0,3116
2015-12-12,12910,0,3122
2015-12-13,12951,0,3127
2015-12-14,13026,0,3137
2015-12-15,13077,0,3150
2015-12-16,13137,0,3174
2015-12-17,13189,0,3182
2015-12-18,13258,0,3195
2015-12-19,13293,0,3209
2015-12-20,13321,0,3215
2015-12-21,13352,0,3230
2015-12-22,13399,0,3237
2015-12-23,13428,0,3242
2015-12-24,13457,0,3249
2015-12-25,13475,0,3252
2015-12-26,13505,0,3256
2015-12-27,13530,0,3261
2015-12-28,13576,0,3267
2015-12-29,13621,0,3275
2015-12-30,13664,0,3286
2015-12-31,13692,0,3292
2016-01-01,13720,0,3304
2016-01-02,13758,0,3314
2016-01-03,13792,0,3325
2016-01-04,13829,0,3328
2016-01-05,13869,0,3346
2016-01-06,13925,0,3360
2016-01-07,13985,0,3375
2016-01-08,14029,0,3381
2016-01-09,14056,0,3392
2016-01-10,14081,0,3400
2016-01-11,14127,0,3419
2016-01-12,14168,0,3435
2016-01-13,14215,0,3451
2016-01-14,14251,0,3462
2016-01-15,14296,0,3477
2016-01-16,14331,0,3486
2016-01-17,14356,0,3497
2016-01-18,14388,0,3511
2016-01-19,14420,0,3526
2016-01-20,14468,0,3538
2016-01-21,14522,0,3550
2016-01-22,14643,0,3564
2016-01-23,14772,0,3576
2016-01-24,14866,0,3595
2016-01-25,15039,0,3607
2016-01-26,15187,0,3617
2016-01-27,15279,0,3631
2016-01-28,15355,0,3643
2016-01-29,15423,0,3659
2016-01-30,15460,0,3667
2016-01-31,15507,0,3675
2016-02-01,15552,0,3734
2016-02-02,15588,0,3754
2016-02-03,15630,0,3763
2016-02-04,15688,0,3785
2016-02-05,15741,0,3798
2016-02-06,15765,0,3812
2016-02-07,15793,0,3820
2016-02-08,15823,0,3828
2016-02-09,15862,0,3838
2016-02-10,15898,0,3850
2016-02-11,15934,0,3861
2016-02-12,15968,0,3873
2016-02-13,15992,0,3879
2016-02-14,16009,0,3890
2016-02-15,16048,0,3902
2016-02-16,16094,0,3921
2016-02-17,16205,0,3933
2016-02-18,16263,0,3945
2016-02-19,16303,0,3950
2016-02-20,16332,0,3964
2016-02-21,16365,0,3970
2016-02-22,16407,0,3975
2016-02-23,16436,0,3982
2016-02-24,16478,0,4000
2016-02-25,16515,0,4020
2016-02-26,16598,0,4038
2016-02-27,16662,0,4043
2016-02-28,16700,0,4049
2016-02-29,16740,0,4051
2016-03-01,16793,0,4061
2016-03-02,16828,0,4076
2016-03-03,16873,0,4089
2016-03-04,16903,0,4097
2016-03-05,16921,0,4102
2016-03-06,16950,0,4113
2016-03-07,17004,0,4141
2016-03-08,17045,0,4158
2016-03-09,17093,0,4175
2016-03-10,17156,0,4193
2016-03-11,17223,0,4219
2016-03-12,17262,0,4229
2016-03-13,17309,0,4238
2016-03-14,17397,0,4254
2016-03-15,17464,0,4269
2016-03-16,17512,0,4281
2016-03-17,17550,0,4306
2016-03-18,17594,0,4321
2016-03-19,17624,0,4335
2016-03-20,17661,0,4353
2016-03-21,17714,0,4371
2016-03-22,17759,0,4384
2016-03-23,17825,0,4402
2016-03-24,17901,0,4418
2016-03-25,17952,0,4433
2016-03-26,17987,0,4445
2016-03-27,18031,0,4457
2016-03-28,18087,0,4472
2016-03-29,18116,0,4492
2016-03-30,18157,0,4513
2016-03-31,18192,0,4537
2016-04-01,18224,0,4547
2016-04-02,18247,0,4555
2016-04-03,18282,0,4568
2016-04-04,18321,0,4589
2016-04-05,18374,0,4603
2016-04-06,18422,0,4615
2016-04-07,18479,0,4626
2016-04-08,18518,0,4649
2016-04-09,18547,0,4660
2016-04-10,18582,0,4671
2016-04-11,18627,0,4745
2016-04-12,18672,0,4835
2016-04-13,18802,0,4875
2016-04-14,19004,0,4906
2016-04-15,19157,0,4931
2016-04-16,19251,0,4947
2016-04-17,19327,0,4962
2016-04-18,19417,0,4989
2016-04-19,19491,0,5014
2016-04-20,19562,0,5033
2016-04-21,19621,0,5047
2016-04-22,19691,0,5063
2016-04-23,19750,0,5080
2016-04-24,19790,0,5094
2016-04-25,19838,0,5108
2016-04-26,19895,0,5128
2016-04-27,19941,0,5147
2016-04-28,19995,0,5158
2016-04-29,20040,0,5198
2016-04-30,20109,0,5212
2016-05-01,20152,0,5222
2016-05-02,20196,0,5235
2016-05-03,20260,0,5249
2016-05-04,20320,0,5278
2016-05-05,20370,0,5299
2016-05-06,20423,0,5314
2016-05-07,20466,0,5325
2016-05-08,20506,0,5334
2016-05-09,20572,0,5349
2016-05-10,20628,0,5368
2016-05-11,20701,0,5380
2016-05-12,20811,0,5392
2016-05-13,21037,0,5408
2016-05-14,21125,0,5417
2016-05-15,21192,0,5436
2016-05-16,21304,0,5452
2016-05-17,21417,0,5469
2016-05-18,21545,0,5485
2016-05-19,21683,0,5493
2016-05-20,21798,0,5514
2016-05-21,21860,0,5528
2016-05-22,21901,0,5543
2016-05-23,21977,0,5570
2016-05-24,22036,0,5587
2016-05-25,22110,0,5601
2016-05-26,22176,0,5614
2016-05-27,22235,0,5629
2016-05-28,22269,0,0
2016-05-29,22302,0,5647
2016-05-30,22353,0,5654
2016-05-31,22406,0,5667
2016-06-01,22461,0,5676
2016-06-02,22523,0,5697
2016-06-03,22612,0,5715
2016-06-04,22653,0,5722
2016-06-05,22700,0,5752
2016-06-06,22763,0,5764
2016-06-07,22852,0,5784
2016-06-08,22996,0,5804
2016-06-09,23102,0,5817
2016-06-10,23163,0,5825
2016-06-11,23204,0,5829
2016-06-12,23257,0,5839
2016-06-13,23324,0,5850
2016-06-14,23374,0,5862
2016-06-15,23435,0,5879
2016-06-16,23499,0,5894
2016-06-17,23546,0,5903
2016-06-18,23578,0,5915
2016-06-19,23614,0,5928
2016-06-20,23674,0,5938
2016-06-21,23733,0,5950
2016-06-22,23791,0,5965
2016-06-23,23850,0,5971
2016-06-24,23893,0,5982
2016-06-25,23934,0,5989
2016-06-26,23967,0,5997
2016-06-27,24022,0,6007
2016-06-28,24076,0,6021
2016-06-29,24156,0,6036
2016-06-30,24251,0,6047
2016-07-01,24339,0,6057
2016-07-02,24392,0,6060
2016-07-03,24431,0,6070
2016-07-04,24480,0,6080
2016-07-05,24537,0,6097
2016-07-06,24578,0,6111
2016-07-07,24632,0,6124
2016-07-08,24683,0,6138
2016-07-09,24712,0,6142
2016-07-10,24747,0,6156
2016-07-11,24794,0,6183
2016-07-12,24858,0,6201
2016-07-13,24931,0,6219
2016-07-14,24999,0,6239
2016-07-15,25043,0,6263
2016-07-16,25068,0,6272
2016-07-17,25098,0,6281
2016-07-18,25142,0,6299
2016-07-19,25200,0,6317
2016-07-20,25264,0,6338
2016-07-21,25400,0,6364
2016-07-22,25472,0,6380
2016-07-23,25520,0,6392
2016-07-24,25566,0,6404
2016-07-25,25619,0,6421
2016-07-26,25672,0,6438
2016-07-27,25724,0,6454
2016-07-28,25769,0,6474
2016-07-29,25822,0,6488
2016-07-30,25857,0,6498
2016-07-31,25894,0,6502
2016-08-01,25941,0,6517
2016-08-02,26001,0,6533
2016-08-03,26053,0,6556
2016-08-04,26110,0,6598
2016-08-05,26154,0,6619
2016-08-06,26185,0,6639
2016-08-07,26219,0,6658
2016-08-08,26267,0,6671
2016-08-09,26326,0,6694
2016-08-10,26386,0,6710
2016-08-11,26482,0,6749
2016-08-12,26586,0,6765
2016-08-13,26623,0,6776
2016-08-14,26668,0,6789
2016-08-15,26733,2,6802
2016-08-16,26805,3,6830
2016-08-17,26856,0,6851
2016-08-18,26910,0,6870
2016-08-19,26961,0,6882
2016-08-20,26986,0,6889
2016-08-21,27013,0,6902
2016-08-22,27069,0,6921
2016-08-23,27128,0,6948
2016-08-24,27185,4,6967
2016-08-25,27255,0,6983
2016-08-26,27297,0,7003
2016-08-27,27343,0,7013
2016-08-28,27378,0,7028
2016-08-29,27435,0,7049
2016-08-30,27507,0,7077
2016-08-31,27586,0,7097
2016-09-01,27660,0,7110
2016-09-02,27737,0,7129
2016-09-03,27785,0,7139
